Date,Open,High,Low,Adj Close,Volume,Prev Day,Target,Adj Close Change,headline_score
2024-02-12,276.42999267578125,276.6700134277344,274.239990234375,273.492431640625,3676200,274.8446350097656,0,-0.49198827151658575,0.24868763576854358
2024-02-13,273.75,278.0,272.760009765625,274.2281799316406,5493800,273.492431640625,1,0.26901961659488993,-0.0319474797982436
2024-02-14,276.4700012207031,277.6400146484375,274.7099914550781,275.9681701660156,4218400,274.2281799316406,1,0.6345045337093902,0.3185605853796005
2024-02-15,277.6499938964844,281.1199951171875,277.55999755859375,279.3685607910156,4834800,275.9681701660156,1,1.2321676891050126,0.3937034271657467
2024-02-16,280.9599914550781,281.1199951171875,277.8699951171875,276.9624328613281,6630100,279.3685607910156,0,-0.8612736962508194,-0.19657973051071168
2024-02-20,274.57000732421875,276.8399963378906,273.3399963378906,273.57196044921875,6157200,276.9624328613281,0,-1.2241632834756877,-0.35339183870114776
2024-02-21,274.6300048828125,276.9700012207031,273.5299987792969,275.1727600097656,4771100,273.57196044921875,1,0.585147526785379,-0.5718769771712167
2024-02-22,279.17999267578125,284.05999755859375,278.9800109863281,282.1226501464844,5100200,275.1727600097656,1,2.5256461200854785,0.9351966083049774
2024-02-23,284.7200012207031,285.95001220703125,283.5,281.9735412597656,5107700,282.1226501464844,0,-0.05285250462567781,-0.9556764165560404
2024-02-26,283.0400085449219,285.3500061035156,282.6600036621094,282.5203552246094,3856900,281.9735412597656,1,0.193923856259981,0.5036342607604133
2024-02-27,284.1700134277344,284.1700134277344,281.5400085449219,281.5459899902344,4145200,282.5203552246094,0,-0.3448831973895672,-0.14179115636008127
2024-02-28,282.1000061035156,286.1300048828125,282.0799865722656,283.99188232421875,4358800,281.5459899902344,1,0.8687363418208305,-0.3191765613026089
2024-02-29,285.5,285.6600036621094,282.17999267578125,281.01904296875,6633700,283.99188232421875,0,-1.0468043421307471,0.4953848496079445
2024-03-01,283.20001220703125,284.9100036621094,282.1099853515625,281.5360412597656,3955400,281.01904296875,1,0.18397268937859756,0.25841502100229263
2024-03-04,282.80999755859375,283.0,278.1300048828125,278.9211120605469,5920300,281.5360412597656,0,-0.92880797340118,0.4070180257161458
2024-03-05,280.2699890136719,280.989990234375,277.67999267578125,277.7777404785156,6227900,278.9211120605469,0,-0.4099265106124572,-0.16596461704799106
2024-03-06,280.0,282.0,279.30999755859375,278.8216857910156,4535200,277.7777404785156,1,0.3758203629641521,-0.32740456859270733
2024-03-07,280.8800048828125,281.1700134277344,276.1600036621094,276.66412353515625,5668500,278.8216857910156,0,-0.773814364452452,-0.3409830530484517
2024-03-08,279.0,281.6700134277344,278.8299865722656,278.4339599609375,3928800,276.66412353515625,1,0.6397057931352368,-0.2968172762129042
2024-03-11,279.45001220703125,280.7699890136719,277.989990234375,278.950927734375,4614000,278.4339599609375,1,0.18566979886722734,-0.2195475220680237
2024-03-12,281.30999755859375,284.4800109863281,280.2900085449219,282.29168701171875,7988700,278.950927734375,1,1.1976154029947894,0.5698736177550422
2024-03-13,284.6600036621094,286.1000061035156,283.82000732421875,283.50469970703125,5783800,282.29168701171875,1,0.4297018832375876,0.6135553419589996
2024-03-14,288.9599914550781,289.0400085449219,284.54998779296875,284.7674255371094,5484500,283.50469970703125,1,0.44539855296332753,0.34093520045280457
2024-03-15,283.54998779296875,285.6300048828125,282.6400146484375,281.416748046875,9845000,284.7674255371094,0,-1.1766365074637797,-0.38096567562648226
2024-03-18,283.8699951171875,286.2300109863281,283.25,283.4151916503906,4095600,281.416748046875,1,0.7101366984678448,0.08787106616156441
2024-03-19,286.6600036621094,288.05999755859375,285.25,285.7019958496094,6595200,283.4151916503906,1,0.8068742490133118,0.5774445086717606
2024-03-20,287.6400146484375,289.8699951171875,286.7200012207031,287.6209716796875,6105000,285.7019958496094,1,0.6716704321128475,-0.10015629870550972
2024-03-21,289.9700012207031,290.9599914550781,287.8999938964844,288.7046813964844,5057600,287.6209716796875,1,0.3767839703996856,0.9738683700561523
2024-03-22,290.0,290.489990234375,282.8900146484375,281.6354675292969,8743000,288.7046813964844,0,-2.448596895967614,-0.33025983969370526
2024-03-25,283.010009765625,283.5,280.0400085449219,279.59722900390625,8519200,281.6354675292969,0,-0.7237151425818156,-0.33086955547332764
2024-03-26,284.1300048828125,284.1300048828125,278.4100036621094,278.99072265625,8752400,279.59722900390625,0,-0.21692144439949823,-0.06513782563032927
2024-03-27,280.25,281.25,276.9800109863281,277.41973876953125,5190700,278.99072265625,0,-0.5630953860262911,-0.38759716657491833
2024-03-28,278.489990234375,279.79998779296875,277.1199951171875,277.47943115234375,5844400,277.41973876953125,1,0.021516991933334673,-0.09633787189211164
2024-04-01,280.3599853515625,280.8900146484375,276.7900085449219,276.68402099609375,5084000,277.47943115234375,0,-0.2866555380147462,-0.022416094938913982
2024-04-02,278.0,279.3299865722656,276.9800109863281,276.84307861328125,6912300,276.68402099609375,1,0.05748709904347393,-0.06883283456166585
2024-04-03,280.4800109863281,280.4800109863281,276.55999755859375,275.37158203125,4536600,276.84307861328125,0,-0.5315273148247202,0.44917619228363037
2024-04-04,278.3599853515625,279.0799865722656,273.55999755859375,272.4285888671875,4018600,275.37158203125,0,-1.0687352494232805,0.30742076509877253
2024-04-05,276.1000061035156,277.9599914550781,275.0299987792969,275.55059814453125,4388100,272.4285888671875,1,1.1459917956208931,0.5540094309382968
2024-04-08,276.25,277.9800109863281,275.1499938964844,276.1669921875,5542400,275.55059814453125,1,0.2236954109769096,0.34780505299568176
2024-04-09,277.6300048828125,278.0,273.32000732421875,275.1329650878906,7314300,276.1669921875,0,-0.37442095864494984,-0.31776359180609387
2024-04-10,275.4200134277344,276.82000732421875,274.1199951171875,272.9058532714844,5276000,275.1329650878906,0,-0.8094674571964888,-0.17208899770464217
2024-04-11,274.0,276.4800109863281,272.17999267578125,274.0989074707031,8102300,272.9058532714844,1,0.43716695150246565,-0.04836754500865936
2024-04-12,275.54998779296875,277.0,274.05999755859375,274.3773193359375,9037900,274.0989074707031,1,0.1015735041790089,0.02007121443748474
2024-04-15,277.8900146484375,277.9100036621094,270.3399963378906,269.72418212890625,10267500,274.3773193359375,0,-1.695889885611912,-0.15958818367549352
2024-04-16,270.5400085449219,274.1300048828125,270.1700134277344,269.79376220703125,8237100,269.72418212890625,1,0.025796751917384064,0.9854389190673828
2024-04-17,273.29998779296875,274.0,271.5,271.1260986328125,5940900,269.79376220703125,1,0.49383514833039044,-0.5131337742010752
2024-04-18,272.57000732421875,273.1499938964844,269.8599853515625,269.81365966796875,8231800,271.1260986328125,0,-0.48406957923338156,-0.017731450498104095
2024-04-19,271.4700012207031,272.0,268.2900085449219,268.2327880859375,7826200,269.81365966796875,0,-0.5859123603959349,0.18382103443145753
2024-04-22,270.95001220703125,273.760009765625,269.3599853515625,270.7681579589844,6463700,268.2327880859375,1,0.9452125115422483,-0.07623479763666789
2024-04-23,274.010009765625,274.8900146484375,272.7099914550781,272.53790283203125,6438000,270.7681579589844,1,0.6536015484194913,-0.1642820402687671
2024-04-24,282.57000732421875,283.0,274.489990234375,273.4427185058594,8807200,272.53790283203125,1,0.331996270766699,-0.1965159145120072
2024-04-25,272.9700012207031,276.2200012207031,270.489990234375,273.5819396972656,8064600,273.4427185058594,1,0.0509142068828794,0.07813589175542196
2024-04-26,275.010009765625,276.7699890136719,273.8299865722656,272.945556640625,6840600,273.5819396972656,0,-0.2326115010898855,0.5872456268830732
2024-04-29,272.32000732421875,274.4700012207031,271.0899963378906,270.28094482421875,4128600,272.945556640625,0,-0.9762429728484734,0.09854397508833143
2024-04-30,270.5299987792969,272.0799865722656,268.5799865722656,267.0694580078125,6376400,270.28094482421875,0,-1.1882031929757009,-0.06025415658950806
2024-05-01,268.1499938964844,270.9100036621094,266.7099914550781,265.7868957519531,6119900,267.0694580078125,0,-0.4802354658696495,-0.4916941126187642
2024-05-02,269.3500061035156,269.4700012207031,266.6499938964844,266.0752258300781,5061700,265.7868957519531,1,0.10848167563313194,0.24285686016082764
2024-05-03,269.0,269.45001220703125,266.5,266.9501647949219,3862000,266.0752258300781,1,0.32883142807234034,0.527185745537281
2024-05-06,269.6499938964844,272.7799987792969,269.57000732421875,271.1062316894531,3958700,266.9501647949219,1,1.5568699490124072,-0.28130725026130676
2024-05-07,273.7200012207031,277.8800048828125,272.8299865722656,274.87445068359375,6377100,271.1062316894531,1,1.3899418580894274,-0.011597178876399994
2024-05-08,277.79998779296875,278.54998779296875,274.9200134277344,275.60028076171875,9029700,274.87445068359375,1,0.2640587643994996,-0.22058915495872497
2024-05-09,276.79998779296875,278.7900085449219,276.3999938964844,276.9425354003906,8948800,275.60028076171875,1,0.48702948885324115,0.3459349503883949
2024-05-10,279.54998779296875,281.0299987792969,279.239990234375,279.1299133300781,8986400,276.9425354003906,1,0.7898309757744748,0.10451831136431013
2024-05-13,281.4599914550781,282.1499938964844,279.1000061035156,277.78765869140625,10528400,279.1299133300781,0,-0.4808709402222444,0.19547283318307665
2024-05-14,279.44000244140625,279.989990234375,274.2699890136719,276.1471252441406,18526100,277.78765869140625,0,-0.5905710336426728,0.16378817955652872
2024-05-15,277.1499938964844,281.7300109863281,277.07000732421875,279.8855895996094,21288400,276.1471252441406,1,1.3537944138160452,-0.18335026502609253
2024-05-16,281.739990234375,282.3800048828125,279.260009765625,278.75,10341500,279.8855895996094,0,-0.4057335003327278,0.6454149881998698
2024-05-17,280.04998779296875,280.9100036621094,278.1000061035156,279.0090026855469,6177800,278.75,1,0.09291576163117377,-0.1374994601522173
2024-05-20,279.2200012207031,280.2699890136719,278.17999267578125,277.455078125,5460900,279.0090026855469,0,-0.5569442367772681,0.14415637935910905
2024-05-21,278.0,278.42999267578125,274.8800048828125,274.87518310546875,6578200,277.455078125,0,-0.9298424224079116,-0.49666421860456467
2024-05-22,275.5299987792969,278.0799865722656,275.1199951171875,274.506591796875,4202500,274.87518310546875,0,-0.13409406568810622,-0.3754757898194449
2024-05-23,275.239990234375,277.44000244140625,273.0299987792969,273.1618957519531,6115900,274.506591796875,0,-0.4898592912176425,-0.1731180747350057
2024-05-24,275.010009765625,275.239990234375,273.3500061035156,273.4208068847656,4339700,273.1618957519531,1,0.0947830341050171,-0.3034394184748332
2024-05-28,274.2300109863281,274.4599914550781,270.2300109863281,269.9245300292969,6212100,273.4208068847656,0,-1.2787164573551557,0.6463972628116608
2024-05-29,269.0,271.1400146484375,268.260009765625,267.8127746582031,5469700,269.9245300292969,0,-0.7823503002356014,-0.09224487976594405
2024-05-30,268.70001220703125,271.6400146484375,268.30999755859375,270.2432556152344,4903100,267.8127746582031,1,0.9075298816993094,0.1005508303642273
2024-05-31,271.44000244140625,272.760009765625,269.010009765625,271.39874267578125,8910000,270.2432556152344,1,0.4275729501246106,0.4886515364050865
2024-06-03,273.0899963378906,273.1300048828125,268.05999755859375,269.3268737792969,4838800,271.39874267578125,0,-0.7634040143507548,0.5194937437772751
2024-06-04,269.6300048828125,272.989990234375,269.30999755859375,271.3589172363281,4188500,269.3268737792969,1,0.7544896758785447,0.21137427687644958
2024-06-05,273.5299987792969,274.92999267578125,272.0199890136719,273.4308166503906,5368700,271.3589172363281,1,0.7635272999921616,-0.16842163460595266
2024-06-06,274.79998779296875,277.1499938964844,274.0799865722656,275.9609069824219,4862400,273.4308166503906,1,0.925312795033717,0.10125370025634765
2024-06-07,277.7099914550781,280.3299865722656,276.8599853515625,277.5845642089844,4515600,275.9609069824219,1,0.5883649406420943,0.1151330139901903
2024-06-10,278.1400146484375,278.55999755859375,273.3800048828125,273.96868896484375,5213800,277.5845642089844,0,-1.3026211505832719,0.004333088795344035
